Server ID,Project Name,Server Name,Volume ID,Volume Name,Size (GB),Volume AZ,Created at,Type
0858921a-c1bc-47c0-8123-4e272deff02b,ASAv-Test,vSRX04,9fb0c9eb-fcc4-46b2-88d3-4f8a8b075f5c,vSRX04,30,nova,Feb. 3- 2020,stabl2
18e581c8-75bc-42cc-97f0-10a4970a3260,Apple,INS01,3c103cdd-6cbf-465b-aae3-fc03a709bdaa,,5,nova,Jan. 30- 2020,stabl2
1f9de3e4-219d-416b-bf82-76d91fd58b01,Apple,Wind12,b8c71f47-fe12-4c16-8f3e-a6d48b406c05,Windows,60,nova,Feb. 5- 2020,stabl1
222273a8-4d71-47cc-9c4a-8597bd434c37,ASAv-Test,vSRX03,788a3070-5659-4761-a0d1-d8d4c2248ac7,vSRX03,30,nova,Feb. 3- 2020,stabl2
27d02200-13a6-43fb-9fbe-3a7342c60949,HCM,test_pravin,f06a22d0-fbcc-4873-9c4d-0a75900d8e86,,20,nova,Jan. 31- 2020,stabl2
367ae938-62b4-4b74-ae0a-f3164243660f,ASAv-Test,vSRX-BGPaaS,d3de4dc7-89b5-4f0a-bd36-172977e6759f,vSRX-BGPaaS-Vol,30,nova,Feb. 5- 2020,stabl2
4041b485-7d75-4d74-b258-7279f2805578,Apple,winows12,4e599114-9db2-4ebf-962e-e141ef110ab1,win12new,60,nova,Feb. 5- 2020,stabl1
444ef642-4954-413a-8ef6-ce33d7bcca6e,ASAv-Test,left-vm01,3142c5b5-12d4-4ea1-9d89-e161eb4d5bf1,,1,nova,Feb. 3- 2020,stabl2
4b758402-76ba-407f-a010-4017cf7eb68f,HCM,usashhcmrepo01,d62addba-f543-4f10-be4e-32ff297e5557,,40,nova,Dec. 18- 2019,stabl2
5b28358c-4020-40fc-aabc-3e2a195fdb66,Orange,cirros_snapB_inst,2d41ec0a-de49-4cb2-bedb-b439148cbe41,,10,nova,Jan. 31- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,2f3dc248-cab1-44a3-b657-44d0ab1a2e8b,max-vol-size-16,16384,nova,Jan. 7- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,1a9bf184-8b31-410c-96d3-a8940f2f0bf6,perftest10,100,nova,Jan. 3- 2020,None
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,ec7cf270-e127-4fa9-8c43-781fb2274760,perftest9,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,aaa62e95-bec6-463f-9c28-ea33b5f68b6b,perftest8,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,91d56f7f-efa1-48bb-8f19-e45f48094503,perftest7,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,708dc88f-73a5-43d5-a71a-145299d42836,perftest5,50,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,9d8b9955-dd91-41ba-be07-b6fd5f46cf9b,perftest4,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,0231767f-bb13-4bac-a725-1a6aa1d53a69,perftest4,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,b9f8bd38-f695-495b-a268-9022dbf213e7,perftest3,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,d7e6a2d6-5d2c-4adf-9dbe-60eefa865554,perftest1,10,nova,Jan. 3- 2020,stabl1
5e972ceb-9e0b-4e86-941f-d47efd4aa58c,Orange,developer-Developer-vcp5mabcwgrh,6340f7a2-b8ee-4681-9b04-d7c0ea108ca4,perftest,10,nova,Jan. 3- 2020,stabl1
77704d2d-287a-40b5-8af0-1570c033c3f8,ASAv-Test,ASA-1,2fd53f1e-5227-4489-bdcd-0756e45ddd48,,20,nova,Jan. 2- 2020,None
7c4dd9bd-83d6-4c2b-807a-e1d308c4b6f0,Orange,perftest2_snapB_inst,dd6c4670-1302-485e-b961-be21f280122c,,21,nova,Jan. 31- 2020,stabl2
7c5a1f5f-b8be-43bb-b771-07b1f7b591c1,HCM,usashhcmcrt01,604ac3a7-797d-461a-8b8a-bcb9f2547c42,,40,nova,Dec. 18- 2019,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,13217fe1-fc6f-414c-b3c5-912402f93400,pertest-stabl2-vol6,1024,nova,Jan. 9- 2020,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,2eae829a-668f-418c-92bb-7dbfb73c564f,pertest-stabl2-vol5,100,nova,Jan. 9- 2020,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,e3ab1b43-d26d-4e62-8593-0697b0b5c027,pertest-stabl2-vol4,50,nova,Jan. 9- 2020,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,fc0edb7a-ff6e-425a-8090-7ea19aeb1ca9,pertest-stabl2-vol3,20,nova,Jan. 9- 2020,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,bcedd42d-4bc0-4644-9c2a-7365c8b22c62,pertest-stabl2-vol2,10,nova,Jan. 9- 2020,stabl2
81c8c867-2b16-4115-aab4-975354624994,Orange,perf-test-2-Perf-Test-gsijl35yltk4,b30c3e6e-b0b4-41af-a690-20fcff1ac4c2,pertest-stabl2-vol1,10,nova,Jan. 9- 2020,stabl2
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,327c14ee-e7b1-4bb8-b6e0-ff1a2e2c2d34,test10,2048,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,ca5ad3fd-5c4a-40c9-ae81-601ab8d2a62e,test9,10,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,b56d676e-491a-4378-98f2-250512d36656,test8,50,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,40e498ff-ebfb-4c61-a5d2-5153c66d5cfa,test7,10,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,a29c8a1b-9844-4edd-a563-404eefc71b50,test6,10,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,8d3fc01b-1e0f-4bfd-acc0-efbfc0cf7c99,test5,10,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,f4b92830-3a4d-4119-b95f-d9f30b0113f6,test4,50,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,843e6fbf-1a3b-4235-b5a4-299fcaeec16b,test3,50,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,6fa106a5-8317-46e0-9cbf-9323c10f963a,test2,20,nova,Jan. 6- 2020,arbor
9f0ddc01-bf96-47c6-8d0d-44e3c610c30b,Orange,perf-test-1-Perf-Test-dtkl4md3j3ph,68a7fea2-a738-4465-954f-e9ef6dc85a54,test1,10,nova,Jan. 6- 2020,arbor
a038ef22-afd3-4dec-8071-dcb5b0bc2668,ASAv-Test,right-vm01,8d204360-bd4e-4477-9343-7a1e4c436cb4,,1,nova,Feb. 3- 2020,stabl2
b966c6f7-f7b9-439f-936d-59afefbc7906,ASAv-Test,Palo-vm01,d9c9bc7e-374c-43af-8e9e-82bf1bbbcaca,pa-vol1,60,nova,Feb. 3- 2020,stabl2
d8344666-31ff-4e5e-82a8-4003e3e79ac8,ASAv-Test,ASA-2,31b66a7c-7900-4ce9-9355-a94cee16a4f3,,20,nova,Jan. 2- 2020,None
f17054cc-9fd8-4f56-9ab4-f7cdc2446012,ASAv-Test,Palo-VM02,8c6e8a46-9e10-4d53-8ad7-3e922be8a67a,Pa-vol2,60,nova,Feb. 3- 2020,stabl2
NOT FOUND,None,NOT FOUND,05407315-b7c6-41f5-81be-df4f87673526,,1,nova,Dec. 10- 2019,None
